region,color
VN01,#D0321D
VN02,#D0321D
VN05,#D0321D
VN06,#D0321D
VN07,#D0321D
VN14,#D0321D
VN18,#D0321D
VN20,#D0321D
VN21,#D0321D
VN63,#D0321D
VN66,#D0321D
VN67,#D0321D
VN68,#D0321D
VN70,#D0321D
VN71,#D0321D
VNHN,#D0321D
